id,developer
1000492,"Commodore Business Machines, Inc."
1000493,Philco-Ford
1000494,Electronic Games Systems
1000495,Atari
1000495,"Atari, Inc."
1000496,Texas Instruments Incorporated
1000496,Adventure International
1000497,Kiya Overseas Industry
1000498,Atari
1000499,"Universal Co., Ltd."
1000500,Taito
1000501,Nintendo
1000502,Magnavox
1000503,"Atari, Inc."
1000503,Atari
1000504,Nintendo
1000505,"Universal Co., Ltd."
1000506,Bally Manufacturing
1000506,Dave Nutting Associates
1000507,Mattel Electronics
1000508,Gremlin Industries
1000508,Sega
1000509,Exidy
1000509,Nintendo R&D1
1000510,Exidy
1000511,Coleco
1000512,Magnavox
1000513,Pleiades Game Company
1000514,Miso Ramen Group
1000514,Hudson Soft
1000515,Interton
1000515,Philips Semiconductors
1000516,Acetronic
1000516,Philips Semiconductors
1000517,Acetronic
1000517,Philips Semiconductors
1000518,Acetronic
1000518,Philips Semiconductors
1000519,"Sega Enterprises, Inc."
1000519,Technical Magic
1000521,Interton
1000522,Atari
1000522,"Atari, Inc."
1000523,Tiger Electronics
1000524,APh Technological Consulting
1000524,Mattel Electronics
1000525,Teknon Kogyo
1000526,Atari
1000526,"Atari, Inc."
1000527,Cinematronics
1000528,Texas Instruments Incorporated
1000528,Adventure International
1000529,Kiya Overseas Industry
1000530,Atari
1000530,"Atari, Inc."
1000531,Atari
1000532,Mattel Electronics
1000533,Artsci/Softape
1000534,Magnavox
1000535,Exidy
1000536,"Atari, Inc."
1000536,Atari
1000537,Nintendo
1000538,Mattel Electronics
1000538,APh Technological Consulting
1000539,Magnavox
1000540,Apple Computer
1000541,Bally Manufacturing
1000541,Dave Nutting Associates
1000542,Milton Bradley
1000544,Gremlin Industries
1000544,Sega
1000545,Exidy
1000545,Nintendo R&D1
1000546,Interton
1000546,Philips Semiconductors
1000547,Acetronic
1000547,Philips Semiconductors
1000548,Acetronic
1000548,Philips Semiconductors
1000549,Acetronic
1000549,Philips Semiconductors
1000550,"Sega Enterprises, Inc."
1000550,Technical Magic
1000552,Interton
1000553,Philips Semiconductors
1000553,Interton
1000554,Promedic
1000555,Muse Software
1000556,The Software Exchange
1000557,APh Technological Consulting
1000557,Mattel Electronics
1000558,Texas Instruments Incorporated
1000558,Adventure International
1000559,Kiya Overseas Industry
1000560,Nintendo R&D1
1000560,Nintendo
1000561,Magnavox
1000562,Magnavox
1000563,Apple Computer
1000564,Philips
1000565,Kiya Overseas Industry
1000565,"Microcomputer Games, Inc."
1000566,Activision
1000567,"Universal Co., Ltd."
1000568,N.V. Philips Gloeilampenfabrieken
1000569,"Universal Co., Ltd."
1000570,Taito
